,price,year,km,title,location
301,259999,2016,40217, Mazda Cx-5 5p Sport I L4/2.0 Aut ,Distrito Federal
302,324999,2015,81717, Ford Explorer Xlt V6/3.5 Aut ,Distrito Federal
303,257999,2016,46010, Nissan X-trail 5p Sense 2 L4/2.5 Aut ,Distrito Federal
304,167999,2016,57335, Nissan Versa 4p Advance L4/1.6 Aut ,Distrito Federal
305,132999,2015,72340, Nissan March 5p Advance L4/1.6 Man ,Distrito Federal
306,247999,2014,51854, Chrysler Town & Country 5p Touring V6/3.6 Aut ,Distrito Federal
307,199999,2015,71881, Mazda Mazda 3 5p Hatchback I Touring L4/2.0 Man ,Distrito Federal
308,174999,2017,59796, Nissan Versa 4p Drive L4/1.6 Aut ,Distrito Federal
309,217999,2015,36372, Toyota Corolla 4p Le L4/1.8 Aut ,Distrito Federal
310,322999,2016,52859, Mini Cooper S Hot Chili L4/2.0/t Aut ,Distrito Federal
311,252999,2011,79194, Chevrolet Suburban A 5p Aut Tela A/a ,Distrito Federal
312,542999,2017,26372, Jeep Grand Cherokee 5p Limited Lujo 4x2 V6/3.6 Aut ,Distrito Federal
313,312999,2015,35382, Audi Q3 5p Elite L4/2.0/t Aut ,Distrito Federal
314,269999,2016,41334, Audi A1 3p Ego L4/1.4/t Aut ,Distrito Federal
315,212999,2015,92327, Mitsubishi Asx 5p Se L4/2.0 Aut ,Distrito Federal
316,197999,2015,81872, Mazda Mazda 3 5p Hatchback I Touring L4/2.0 Man ,Distrito Federal
317,222999,2017,29394, Honda Fit 5p Hit L4/1.5 Aut ,Distrito Federal
318,222999,2015,110839, Mazda Cx-5 5p I L4/2.0 Aut ,Distrito Federal
319,154999,2016,70493, Volkswagen Vento 4 Pts. Startline Tiptronic ,Distrito Federal
320,302999,2015,47540, Bmw Serie 2 2p 220i Coupé L4/2.0/t Aut ,Distrito Federal
321,149999,2015,56713, Ford Fiesta 5p Se Hb L4/1.6 Man ,Distrito Federal
322,217999,2015,49481, Volkswagen Jetta 4p Sportline L5/2.5 Aut Qc Weltradio ,Distrito Federal
323,259999,2016,50358, Mazda Mx-5 2p I Sport Convertible L4/2.0 Man ,Distrito Federal
324,242999,2014,88716, Volvo S60 4p Kinetic T5a L4/2.0/t Aut ,Distrito Federal
325,339999,2016,81314, Bmw X1 5p Sdrive 20i X Line L4/2.0/t Aut ,Distrito Federal
326,142999,2014,70600, Volkswagen Vento 4p Active L4/1.6 Aut ,Distrito Federal
327,209999,2018,30128, Chevrolet Cavalier 4p Lt L4/1.5 Aut ,Distrito Federal
328,222999,2012,97585, Bmw X3 5p 28ia Xdrive Aut ,Distrito Federal
329,434999,2016,32446, Bmw X4 5p Xdrive 28i X Line L6/3.0/t Man ,Distrito Federal
330,324999,2015,81402, Nissan Pathfinder 5p Exclusive V6/3.5 Aut Awd ,Distrito Federal
331,177999,2013,68290, Volkswagen Beetle 2p Sport 6 Vel Aut ,Distrito Federal
332,389999,2018,30328, Volkswagen Tiguan 5p Confortline L4/1.4/t Aut 7 Pas ,Distrito Federal
333,269999,2013,108751, Audi Q5 5p Trendy 2.0l S Tronic Quattro ,Distrito Federal
334,289999,2015,79640, Bmw Serie 3 4p 320i Sport Line L4/2.0/t Aut ,Distrito Federal
335,347999,2018,21320, Honda Civic 2p Coupé Turbo L4/1.5/t Aut ,Distrito Federal
336,134999,2014,101887, Seat Ibiza 5p Blitz L4/2.0 Man ,Distrito Federal
337,234999,2015,60817, Dodge Journey 5p Sxt L4/2.4 Aut 5/pas ,Distrito Federal
338,292999,2017,17691, Mazda Cx-3 5p I Grand Touring L4/2.0 Aut ,Distrito Federal
339,112999,2015,63412, Hyundai Grand I10 5p Gl L4/1.2 Man ,Distrito Federal
340,262999,2016,66836, Honda Hr-v 5p Epic L4/1.8 Aut ,Distrito Federal
341,262999,2013,34365, Bmw Serie 1 2p 125ia Coupe M Sport Aut ,Distrito Federal
342,214999,2013,94449, Mazda Cx-5 5p Grand Touring I L4 2.0 Aut ,Distrito Federal
343,129999,2013,91684, Volkswagen Jetta 4p Clasico Cl 5vel A/a ,Distrito Federal
344,292999,2015,65783, Nissan Frontier 4p Pro-4x S V6 Aut 4x2 ,Distrito Federal
345,144999,2015,44800, Volkswagen Vento 4p Active L4/1.6 Aut ,Distrito Federal
346,204999,2016,42289, Volkswagen Jetta 4p Live L4/2.0 Aut ,Distrito Federal
347,347999,2015,65606, Toyota Sienna 5p Xle V6/3.5 Aut Q/c Piel ,Distrito Federal
348,192000,2014,63771, Jeep Compass 5p Latitud 4x2 L4/2.4 Aut ,Distrito Federal
349,252999,2016,86808, Honda Hr-v 5p Epic L4/1.8 Aut ,Distrito Federal
350,134999,2016,35141, Hyundai Grand I10 5p Gls L4/1.2 Man ,Distrito Federal
351,192999,2018,37211, Volkswagen Polo 5p L4/1.6 Aut ,Distrito Federal
352,334999,2016,25064, Mercedes-benz Clase Cla 4p 200 Cgi L4/1.6/t Aut ,Distrito Federal
353,1134999,2017,11739, Porsche Boxster 2p 718 S H4/2.5 T Pdk ,Distrito Federal
354,192999,2016,62128, Ford Ecosport 5p Trend L4/2.0 Aut ,Distrito Federal
355,352999,2017,36172, Ford Escape 5p Titanium L4/2.5 Aut Ecoboost ,Distrito Federal
356,399999,2016,42314, Mercedes-benz Clase Cla 4p 250 Cgi Sport L4/1.6/t Aut Q/c ,Distrito Federal
357,182999,2016,60775, Volkswagen Jetta 4p 2.0 Std. ,Distrito Federal
358,234999,2016,33917, Seat Leon 3p Connect L4/1.4/t Man ,Distrito Federal
359,212999,2016,65730, Smart Forfour 5p Forfour Prime L3/1.0 Man ,Distrito Federal
360,292999,2019,9821, Chevrolet Trax 5p Lt L4/1.8 Aut ,Distrito Federal
361,172999,2017,33063, Volkswagen Vento 4p Confortline L4/1.6 Aut ,Distrito Federal
362,164999,2016,71558, Ford Fiesta 4p Se L4/1.6 Man ,Distrito Federal
363,204999,2016,33916, Volkswagen Jetta 4p Trendline L5/2.5 Aut ,Distrito Federal
364,214999,2013,80372, Honda Accord 2p Ex Coupe V6 Piel Abs Q/c Cd Aut 5 Vel. ,Distrito Federal
365,142999,2016,51656, Chevrolet Spark 5p Ltz L4/1.4 Man ,Distrito Federal
366,277999,2016,52122, Volvo S60 Sport T4 L4/1.6/t Aut ,Distrito Federal
367,209999,2016,56260, Seat Ibiza 5p Fr Std. Sound System ,Distrito Federal
368,442999,2017,22084, Ford Mustang 2p Coupé Ecoboost L4/2.3/t Aut ,Distrito Federal
369,282999,2017,41617, Mini Cooper 3p Chili L3/1.5/t Man ,Distrito Federal
370,397999,2015,54264, Infiniti Qx60 Qx60 Perfection V6/3.5 Aut ,Distrito Federal
